題型選項組合編號,題型選項組合名稱,加購題型,加購選項顯示名稱,對應產品名稱,對應產品料號,對應產品條碼,對應 product_id (Odoo),價格調整覆蓋,備註
O7835309,尺寸(30)+溫度+甜度,尺寸,L,招牌咖啡,QC_P_39095596,P_49180031,,30,
O7835309,尺寸(30)+溫度+甜度,尺寸,M,招牌咖啡,QC_P_39095596,P_49180031,,0,
O7835309,尺寸(30)+溫度+甜度,尺寸,S,招牌咖啡,QC_P_39095596,P_49180031,,-15,
O7835309,尺寸(30)+溫度+甜度,甜度,正常100%,招牌咖啡,QC_P_39095596,P_49180031,,0,
O7835309,尺寸(30)+溫度+甜度,甜度,少糖75%,招牌咖啡,QC_P_39095596,P_49180031,,0,
O8536132,特調加購,甜度,正常100%,特調咖啡,QC_P_39095597,P_49180040,,0,
O8536132,特調加購,甜度,半糖50%,特調咖啡,QC_P_39095597,P_49180040,,0,
